winery_id,lat,lon,name
5167052721,41.777774,21.7409905,Chateau Sopot
180716821,,,Попова Кула
370311640,,,Domaine Lepovo
476221803,,,Камник
533757101,,,Vinarija Stobi
1221269982,,,Zaharchev Winery and Distillery
11324050520,41.436124,22.0048024,
11324050521,41.4361301,22.0047292,
11324050522,41.436185,22.0047454,
11324050523,41.4361972,22.0048268,
1911710769,41.4102827,22.2259554,
1911710794,41.4110191,22.2262817,
1911710798,41.4106685,22.2270367,
1911710805,41.4109514,22.2259239,
1911710817,41.4109735,22.2265108,
1911710837,41.4109967,22.2261756,
1911710841,41.4108384,22.2256334,
1911710843,41.410681,22.2271961,
1911710884,41.4105106,22.225498,
1911783300,41.4101014,22.2261564,
1911783622,41.4104547,22.2254632,
1911783647,41.4107865,22.2253286,
1911783677,41.4102664,22.2267744,
1911783687,41.4106657,22.225379,
1911784427,41.4102115,22.2258279,
1911784588,41.4100532,22.2263935,
3740200039,41.5176265,22.0341238,
3740200042,41.5180203,22.0341129,
3740200043,41.518024,22.0343496,
3740203943,41.5176302,22.0343605,
3832513020,42.0078222,21.4902127,
4698518932,42.0077347,21.4905516,
4698518933,42.0079313,21.4906435,
4698518934,42.0080188,21.4903046,
5177854591,41.5817806,21.9328402,
5177854592,41.5827239,21.9335186,
5177854589,41.5817262,21.9378856,
5177854590,41.5798276,21.9365843,
6644606350,41.581119,21.9375971,
